Lazada,Lazada Price,Shopee,Shopee Price,Cosine Similarity,Price Difference
top1 Air combat catapult aircraft gun EVA foamed child safety toy aircraft guntoy plane,504.0,"Air combat catapult aircraft gun, EVA foamed child safety toy aircraft gun,toy plane",248.0,0.894427190999916,256.0
Children's alloy scene toys fire engineering headquarters series toys Minecraft Toys,1066.0,Children's alloy scene toys fire engineering headquarters series toys,655.0,0.9506541513652699,411.0
hot KAP.CAT NO.607013 BUILDING BLOCKS TOYS,353.0,KAP.CAT NO.607013 BUILDING BLOCKS TOYS,188.0,0.9354143466934851,165.0
✹ J King Magic Bubble Stick ToyS 38013B,203.0,J King Magic Bubble Stick ToyS 38013B,30.0,1.0000000000000002,173.0
【DUDU Pet】Plush Cartoon Shaped Cute Squeak Sound Teeth Grinding Molar Toys Funny Dog Cat Puppy Interactive Playing Chewing Bite Pet Toys,239.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
L3-Multifunctional Musical Toys Toddler Baby Box Music Piano Activity Cube Geometric Blocks Sorting,1002.0,L3-Multifunctional Musical Toys Toddler Baby Box Music Piano Activity Cube Geometric Blocks Sorting,499.0,0.9999999999999999,503.0
80pcs wooden TOI World Map Children’s Educational Puzzle,1100.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
[Ready stock-COD]City Police SWAT Truck Building Blocks Lego Army Lego blocks toys for kids,1258.0,"[Ready stock&COD]City Police SWAT Truck Building Blocks , Lego Army, Lego blocks toys for kids",800.0,1.0000000000000002,458.0
Miigu Baby Mini Pizza Shop w/ Juice Machine Pretend Toys for Kids PCS35,880.0,Miigu Baby Mini Pizza Shop w/ Juice Machine Pretend Toys for Kids PCS35,880.0,1.0000000000000002,0.0
Cars Disne Pixar Cars 3 Cars 2 Mater Huston Jackson Storm Ramirez 1:55 Diecast Metal Alloy Boys Kids Toys Birthday Gift,556.0,Cars Disney Pixar Cars 3 Mater Huston Jackson Storm 1:55 Diecast Alloy Boys Kids Toys Gift,199.0,0.8731282501307989,357.0
RuiCheng Children's play house cleaning and sanitation toy set simulation cleaning tool set puzzle boy toy girl toy play house toy,365.31,"Miigu High Quality Supermarket Toy Set w/ Cashier Table, Pushcarts & Food Pretend Play For Kids Toy",2070.0,0.4545324114471422,-1704.69
"Bahagiha Ready Stock huily Baby Electric Kitchen Cooking Toys Play House Role-playing Toys Set Toddler Cartoon Pretend Play Kids/Girls Gift [COD]
",1042.0,"[Ready stock&COD]Kids home kitchen toy set ,simulation boys and girls mini home kitchen toys.",210.0,0.43033148291193524,832.0
54 Pcs Wooden Toy Building Blocks Jenga Children's Early Education Educational Toys Table Games,210.0,54 Pcs Wooden Toy Building Blocks Jenga Children's Early Education Educational Toys Table Games,88.0,0.9999999999999999,122.0
24 grid children's educational beaded toys diy children's beaded toys brain game,416.0,24 grid children's educational beaded toys diy children's beaded toys brain game,200.0,1.0000000000000002,216.0
【SPOT HOT SALE】 New Arrival 2pcs. Creepy Centipede/ Alupihan Prank toy,120.0,2pcs. Creepy Centipede/ Alupihan Prank toy,6.0,0.7385489458759966,114.0
